名称,来源数量,地址,开放时间,门票价格,评分,简介,信任等级,内容分类,主分类,交通,内容
鲁迅故里,4,绍兴市越城区鲁迅中路241号,08:30-17:00,免费,4.8,绍兴最具代表性的人文景点，包含鲁迅祖居、三味书屋、百草园,4,attraction_culture|attraction_basic,景点,公交1/2/4/5/7路至鲁迅故里站；地铁1号线鲁迅故里站,前往鲁迅故里: 公交1/2/4/5/7路至鲁迅故里站；地铁1号线鲁迅故里站
沈园,4,绍兴市越城区鲁迅中路318号,08:00-21:00,40元,4.6,南宋著名园林，因陆游与唐婉的爱情故事而闻名,4,attraction_culture|attraction_basic,景点,公交1/2路至沈园站，与鲁迅故里步行10分钟,前往沈园: 公交1/2路至沈园站，与鲁迅故里步行10分钟
东湖,4,绍兴市越城区皋埠街道云东路,08:00-17:00,50元,4.5,古代采石场遗址，以悬崖峭壁和深潭碧水闻名,4,attraction_culture|attraction_basic,景点,公交1路至东湖风景区站,前往东湖: 公交1路至东湖风景区站
兰亭景区,4,绍兴市柯桥区兰亭镇308省道,08:00-17:20,70元,4.7,因王羲之《兰亭序》闻名天下，书法圣地,4,attraction_culture|attraction_basic,景点,公交3/303路至兰亭站,前往兰亭景区: 公交3/303路至兰亭站
柯岩风景区,2,,08:30-17:00,115元,,包含柯岩、鉴湖、鲁镇三大景区,4,attraction_culture|attraction_basic,景点,,
安昌古镇,4,绍兴市柯桥区安昌街道,全天开放,免费,4.4,绍兴保存最完好的水乡古镇之一，以酱文化和腊味闻名,4,attraction_culture|attraction_basic,景点,公交805路至安昌古镇站,前往安昌古镇: 公交805路至安昌古镇站
大禹陵,4,绍兴市越城区会稽山麓,08:00-17:00,50元,4.3,中华民族始祖大禹的陵寝之地,4,attraction_culture|attraction_basic,景点,公交2/10路至大禹陵站,前往大禹陵: 公交2/10路至大禹陵站
新昌大佛寺,4,绍兴市新昌县人民西路117号,08:00-17:00,60元,4.6,江南第一大佛，始凿于南朝齐梁年间,4,attraction_culture|attraction_basic,景点,新昌客运中心乘公交至大佛寺站,前往新昌大佛寺: 新昌客运中心乘公交至大佛寺站
五泄风景区,4,绍兴市诸暨市五泄镇,07:30-17:00,80元,4.5,以五级瀑布闻名，东南第一秀水,4,attraction_culture|attraction_basic,景点,诸暨客运中心乘旅游专线,前往五泄风景区: 诸暨客运中心乘旅游专线
穿岩十九峰,4,绍兴市新昌县镜岭镇,08:00-16:30,60元,4.4,丹霞地貌，19座山峰一字排列，有玻璃栈道,4,attraction_culture|attraction_basic,景点,新昌客运站乘旅游专线,前往穿岩十九峰: 新昌客运站乘旅游专线
书圣故里,3,绍兴市越城区蕺山街,全天开放,免费,4.5,建造年代: 东晋，现存街区为明清风格 | 文化典故: 题扇桥：王羲之为卖扇老妪题字，扇子身价百倍；躲婆弄：老妪再三求字，王羲之躲入小巷 | 建筑特色: 绍兴保存最完整的历史街区，蕺山街、西街、笔飞弄,3,attraction_culture|attraction_basic,景点,公交1/2路至胜利路口站,前往书圣故里: 公交1/2路至胜利路口站
仓桥直街,3,绍兴市越城区仓桥直街,全天开放,免费,4.4,建造年代: 宋代始建，明清繁华 | 文化典故: 获联合国教科文组织亚太区文化遗产保护奖（2003年） | 建筑特色: 台门建筑群，沿河而建，传统店铺与民居交错,3,attraction_culture|attraction_basic,景点,步行可达或公交至城市广场站,前往仓桥直街: 步行可达或公交至城市广场站
西施故里,3,绍兴市诸暨市浣纱中路123号,08:00-17:00,免费(部分场馆收费),4.2,建造年代: 现存建筑重修于1980-1990年代 | 文化典故: 西施浣纱、卧薪尝胆等历史典故；浣纱石留有东晋王羲之题字 | 建筑特色: 西施殿利用万余件古建筑构件重建，江南园林风格,3,attraction_culture|attraction_basic,景点,诸暨市区公交可达,前往西施故里: 诸暨市区公交可达
覆卮山,3,绍兴市上虞区岭南乡,全天开放,免费,4.1,建造年代: 自然形成，千年梯田始于宋代 | 文化典故: 谢灵运覆卮典故；冰川石浪为第四纪冰川遗迹 | 建筑特色: 千年古梯田（2.3万块）、冰川石浪、古村落,3,attraction_culture|attraction_basic,景点,建议自驾,前往覆卮山: 建议自驾
天姥山,3,绍兴市新昌县儒岙镇,全天开放,免费,4.2,建造年代: 自然形成 | 文化典故: 浙东唐诗之路的核心节点，450余位唐代诗人留下1500余首诗篇 | 建筑特色: 山间云雾缭绕，天姥寺遗址，登山步道,3,attraction_culture|attraction_basic,景点,建议自驾或乘新昌城乡公交,前往天姥山: 建议自驾或乘新昌城乡公交
曹娥庙,3,绍兴市上虞区曹娥街道,08:00-16:30,免费,4.0,建造年代: 东汉，现存建筑为民国重建 | 文化典故: 被誉为'江南第一庙'，庙内有历代碑刻数十通，包括蔡卞重书的曹娥碑 | 建筑特色: 庙殿巍峨，雕刻精美，正殿壁画描绘曹娥事迹,3,attraction_culture|attraction_basic,景点,上虞市区公交可达,前往曹娥庙: 上虞市区公交可达
绍兴柯岩风景区,2,绍兴市柯桥区柯岩大道558号,08:30-17:00,115元(联票),4.7,柯岩风景区包含柯岩、鉴湖、鲁镇三大景区，以柯岩云谷和大佛石刻为核心。鉴湖风光秀美，为绍兴黄酒水源地。鲁镇再现鲁迅笔下小镇风貌。,2,attraction_culture|attraction_basic,景点,公交805/5路至柯岩风景区站,前往绍兴柯岩风景区: 公交805/5路至柯岩风景区站
八字桥,2,绍兴市越城区八字桥直街,全天开放,免费,4.2,八字桥是绍兴最古老的城市石桥之一，始建于南宋，因两桥成'八'字形跨河而建得名，是中国古代桥梁建筑精品。,2,attraction_culture|attraction_basic,景点,步行或公交至中兴路人民路口,前往八字桥: 步行或公交至中兴路人民路口
绍兴博物馆,2,绍兴市越城区偏门直街75号,09:00-16:30(周一闭馆),免费,4.3,绍兴博物馆全面展示绍兴从史前到近代的历史文化，馆藏丰富，包含越国青铜器、越窑青瓷、明清书画等。是了解绍兴历史文化的最佳窗口。,2,attraction_culture|attraction_basic,景点,公交2/5路至城市广场站,前往绍兴博物馆: 公交2/5路至城市广场站
中国黄酒博物馆,2,绍兴市越城区下大路557号,09:00-16:30,30元,4.3,中国黄酒博物馆全面展示黄酒七千年酿造历史，可体验黄酒品鉴、了解传统酿造工艺。是绍兴酒文化的集中展示地和必打卡的文化场馆。,2,attraction_culture|attraction_basic,景点,公交1/5路,前往中国黄酒博物馆: 公交1/5路
秋瑾故居,2,绍兴市越城区和畅堂35号,08:30-16:30,免费,4.2,秋瑾故居是辛亥革命先驱秋瑾的出生地和革命活动场所，展示了秋瑾生平事迹和清末革命历史。,2,attraction_culture|attraction_basic,景点,公交1/2路,前往秋瑾故居: 公交1/2路
周恩来祖居,2,绍兴市越城区劳动路369号,08:30-16:30,免费,4.3,周恩来祖居是周恩来总理祖辈居住的地方，展示了周恩来家族历史和青少年时期的成长经历。,2,attraction_culture|attraction_basic,景点,公交1/2路至城市广场站,前往周恩来祖居: 公交1/2路至城市广场站
蔡元培故居,2,绍兴市越城区笔飞弄13号,08:30-16:30,免费,4.1,蔡元培故居是著名教育家蔡元培先生的诞生地，展示了蔡元培先生的生平事迹和'思想自由、兼容并包'的教育理念。,2,attraction_culture|attraction_basic,景点,公交1/2路,前往蔡元培故居: 公交1/2路
青藤书屋,2,绍兴市越城区前观巷大乘弄10号,08:30-16:30,免费,4.1,青藤书屋是明代书画家徐渭的故居，院内有徐渭手植青藤，古朴清幽，文人气息浓厚。,2,attraction_culture|attraction_basic,景点,公交1/2路,前往青藤书屋: 公交1/2路
鲁迅外婆家,2,绍兴市越城区孙端镇安桥头村,08:30-16:30,免费,4.0,鲁迅外婆家是鲁迅童年时期生活过的地方，《社戏》等作品中的场景来源于此。保留了清末民初的乡村风貌。,2,attraction_culture|attraction_basic,景点,建议自驾或乘城乡公交,前往鲁迅外婆家: 建议自驾或乘城乡公交
中华孝德园,2,绍兴市上虞区曹娥街道,08:30-16:30,免费,3.9,中华孝德园以传统孝文化为主题，集文化展示、园林景观、互动体验于一体。园内有大舜庙、孝德文化展示馆等。,2,attraction_culture|attraction_basic,景点,上虞市区公交,前往中华孝德园: 上虞市区公交
百丈飞瀑,2,绍兴市嵊州市王院乡,08:00-16:30,55元,4.2,百丈飞瀑是嵊州著名自然景观，主瀑高约120米，雨季水量充沛时气势磅礴。景区峡谷幽深，夏季凉爽宜人。,2,attraction_culture|attraction_basic,景点,嵊州客运中心乘城乡公交,前往百丈飞瀑: 嵊州客运中心乘城乡公交
崇仁古镇,2,绍兴市嵊州市崇仁镇,全天开放,免费,4.1,崇仁古镇是嵊州保存完好的千年古镇，以明清古建筑群和越剧文化闻名。古镇风貌原始淳朴，尚未过度商业化。,2,attraction_culture|attraction_basic,景点,嵊州客运中心乘公交至崇仁镇,前往崇仁古镇: 嵊州客运中心乘公交至崇仁镇
会稽山兜率天景区,2,绍兴市柯桥区会稽山,08:30-16:30,80元,4.3,龙华寺和兜率天宫是绍兴重要的佛教文化胜地，坐落于会稽山巅气势恢宏，可俯瞰绍兴全城。,2,attraction_culture|attraction_basic,景点,公交专线车至兜率天宫站,前往会稽山兜率天景区: 公交专线车至兜率天宫站
大香林,2,绍兴市柯桥区湖塘街道,08:30-16:30,40元,4.1,大香林景区以千年桂花林闻名，秋季桂花盛开时满山飘香。景区内有古桂群、月老祠等景点。,2,attraction_culture|attraction_basic,景点,公交5路至大香林站,前往大香林: 公交5路至大香林站
乔波冰雪世界,2,绍兴市柯桥区鉴湖路,10:00-21:00,180元起,4.2,乔波冰雪世界是浙江最大的室内滑雪场，全年开放。有初级和中级雪道，夏季避暑新玩法。,2,attraction_culture|attraction_basic,景点,公交5路,前往乔波冰雪世界: 公交5路
越王台,2,绍兴市越城区府山公园内,08:00-17:00,免费,4.0,越王台位于府山之巅，传为越王勾践卧薪尝胆之处。登台可俯瞰绍兴古城全景。,2,attraction_culture|attraction_basic,景点,公交2/5路至府山公园站,前往越王台: 公交2/5路至府山公园站
古纤道,2,绍兴市柯桥区鉴湖中,全天开放,免费,4.1,古纤道是古代纤夫拉船的通道，横跨鉴湖水面的石板长桥。柯桥段保存最完好，为全国重点文物保护单位。,2,attraction_culture|attraction_basic,景点,乘乌篷船或沿鉴湖步行,前往古纤道: 乘乌篷船或沿鉴湖步行
宛委山,2,绍兴市越城区会稽山旅游度假区,08:00-17:00,30元,4.1,宛委山是绍兴赏樱胜地，每年3月樱花盛开时节漫山粉白。山间有宛委山房、阳明洞天等景点，是会稽山旅游度假区的核心景区之一。,2,attraction_culture|attraction_basic,景点,公交2/10路至宛委山站,前往宛委山: 公交2/10路至宛委山站
吼山,2,绍兴市越城区皋埠街道,08:00-17:00,45元,4.0,吼山以桃花和摩崖石刻闻名，每年3-4月桃花盛开时满山绯红。山上有南宋摩崖造像和历代题刻。,2,attraction_culture|attraction_basic,景点,公交1路至吼山站,前往吼山: 公交1路至吼山站
