entity_id,名称,实体类型,分类,地址,行政区,纬度,经度,开放时间,门票价格,门票数值,游玩时长(分钟),评分,评论数,标签,简介,交通,图片URL,保护级别,适宜季节,热度分数,数据质量,信任等级,来源列表,来源数量,关联内容数
景点0001,鲁迅故里,景点,景点,,,,,08:30-17:00,免费,,,0,0,,绍兴最具代表性的人文景点，包含鲁迅祖居、三味书屋、百草园,公交1/2/4/5/7路至鲁迅故里站；地铁1号线鲁迅故里站,,,,0,0.5,4,comprehensive,3,16
景点0002,沈园,景点,景点,,,,,08:00-21:00,40元,,,0,0,,南宋著名园林，因陆游与唐婉的爱情故事而闻名,公交1/2路至沈园站，与鲁迅故里步行10分钟,,,,0,0.5,4,comprehensive,3,5
景点0003,东湖,景点,景点,,,,,08:00-17:00,50元,,,0,0,,古代采石场遗址，以悬崖峭壁和深潭碧水闻名,公交1路至东湖风景区站,,,,0,0.5,4,comprehensive,3,9
景点0004,兰亭景区,景点,景点,,,,,08:00-17:20,70元,,,0,0,,因王羲之《兰亭序》闻名天下，书法圣地,公交3/303路至兰亭站,,,,0,0.5,4,comprehensive,3,6
景点0005,绍兴柯岩风景区,景点,景点,绍兴市柯桥区柯岩大道558号,柯桥区,30.0462,120.4794,08:30-17:00,115元(联票),,,4.7,25600.0,4A景区|柯岩|水乡|自然风光|鉴湖|鲁镇,柯岩始于汉代采石，隋唐时期形成大规模石窟造像。鉴湖为东汉会稽太守马臻主持修建的水利工程，距今已1800余年。 柯岩大佛为隋代石刻，高20.8米；'云骨'巨石被誉为'天下第一石'；鉴湖古纤道为全国重点文物保护单位。,公交805/5路至柯岩风景区站,https://image.baidu.com/search?word=%E7%BB%8D%E5%85%B4%E6%9F%AF%E5%B2%A9%E9%A3%8E%E6%99%AF%E5%8C%BA%E7%BB%8D%E5%85%B4,全国重点文物保护单位（古纤道）,春秋,0,0.5,4,comprehensive,5,3
景点0006,安昌古镇,景点,景点,,,,,全天开放,免费,,,0,0,,绍兴保存最完好的水乡古镇之一，以酱文化和腊味闻名,公交805路至安昌古镇站,,,,0,0.5,4,comprehensive,3,11
景点0007,大禹陵,景点,景点,,,,,08:00-17:00,50元,,,0,0,,中华民族始祖大禹的陵寝之地,公交2/10路至大禹陵站,,,,0,0.5,4,comprehensive,3,3
景点0008,新昌大佛寺,景点,景点,,,,,08:00-17:00,60元,,,0,0,,江南第一大佛，始凿于南朝齐梁年间,新昌客运中心乘公交至大佛寺站,,,,0,0.5,4,comprehensive,3,4
景点0009,五泄风景区,景点,景点,,,,,07:30-17:00,80元,,,0,0,,以五级瀑布闻名，东南第一秀水,诸暨客运中心乘旅游专线,,,,0,0.5,4,comprehensive,3,3
景点0010,穿岩十九峰,景点,景点,,,,,08:00-16:30,60元,,,0,0,,丹霞地貌，19座山峰一字排列，有玻璃栈道,新昌客运站乘旅游专线,,,,0,0.5,4,comprehensive,3,2
景点0011,书圣故里,景点,人文历史,绍兴市越城区蕺山街,越城区,30.0013,120.5818,全天开放,免费,,,4.5,11300.0,书法|历史街区|特色街区|王羲之|老街,建造年代: 东晋，现存街区为明清风格 | 文化典故: 题扇桥：王羲之为卖扇老妪题字，扇子身价百倍；躲婆弄：老妪再三求字，王羲之躲入小巷 | 建筑特色: 绍兴保存最完整的历史街区，蕺山街、西街、笔飞弄,公交1/2路至胜利路口站,https://image.baidu.com/search?word=%E4%B9%A6%E5%9C%A3%E6%95%85%E9%87%8C%E7%BB%8D%E5%85%B4,,四季皆宜,0,0.5,3,comprehensive,3,3
景点0012,仓桥直街,景点,古镇街区,绍兴市越城区仓桥直街,越城区,29.9976,120.5765,全天开放,免费,,,4.4,10500.0,历史街区|古建筑|水乡|特色美食|老街,建造年代: 宋代始建，明清繁华 | 文化典故: 获联合国教科文组织亚太区文化遗产保护奖（2003年） | 建筑特色: 台门建筑群，沿河而建，传统店铺与民居交错,步行可达或公交至城市广场站,https://image.baidu.com/search?word=%E4%BB%93%E6%A1%A5%E7%9B%B4%E8%A1%97%E7%BB%8D%E5%85%B4,,四季皆宜,0,0.5,3,comprehensive,3,3
景点0013,西施故里,景点,人文历史,绍兴市诸暨市浣纱中路123号,诸暨市,29.7149,120.2365,08:00-17:00,免费(部分场馆收费),,,4.2,7200.0,古建筑|园林|春秋历史|西施|诸暨,建造年代: 现存建筑重修于1980-1990年代 | 文化典故: 西施浣纱、卧薪尝胆等历史典故；浣纱石留有东晋王羲之题字 | 建筑特色: 西施殿利用万余件古建筑构件重建，江南园林风格,诸暨市区公交可达,https://image.baidu.com/search?word=%E8%A5%BF%E6%96%BD%E6%95%85%E9%87%8C%E7%BB%8D%E5%85%B4,,春秋,0,0.5,3,comprehensive,3,2
景点0014,覆卮山,景点,自然风光,绍兴市上虞区岭南乡,上虞区,29.7455,120.8746,全天开放,免费,,,4.1,4600.0,古村落|梯田|油菜花|登山|自然风光,建造年代: 自然形成，千年梯田始于宋代 | 文化典故: 谢灵运覆卮典故；冰川石浪为第四纪冰川遗迹 | 建筑特色: 千年古梯田（2.3万块）、冰川石浪、古村落,建议自驾,https://image.baidu.com/search?word=%E8%A6%86%E5%8D%AE%E5%B1%B1%E7%BB%8D%E5%85%B4,,春,0,0.5,3,comprehensive,3,5
景点0015,天姥山,景点,自然风光,绍兴市新昌县儒岙镇,新昌县,29.41,120.95,全天开放,免费,,,4.2,5500.0,唐诗之路|李白梦游|登山|自然风光,建造年代: 自然形成 | 文化典故: 浙东唐诗之路的核心节点，450余位唐代诗人留下1500余首诗篇 | 建筑特色: 山间云雾缭绕，天姥寺遗址，登山步道,建议自驾或乘新昌城乡公交,https://image.baidu.com/search?word=%E5%A4%A9%E5%A7%A5%E5%B1%B1%E7%BB%8D%E5%85%B4,,春秋,0,0.5,3,comprehensive,3,4
景点0016,曹娥庙,景点,宗教场所,绍兴市上虞区曹娥街道,上虞区,29.9883,120.8734,08:00-16:30,免费,,,4.0,3100.0,上虞|历史|孝文化|庙宇|曹娥,建造年代: 东汉，现存建筑为民国重建 | 文化典故: 被誉为'江南第一庙'，庙内有历代碑刻数十通，包括蔡卞重书的曹娥碑 | 建筑特色: 庙殿巍峨，雕刻精美，正殿壁画描绘曹娥事迹,上虞市区公交可达,https://image.baidu.com/search?word=%E6%9B%B9%E5%A8%A5%E5%BA%99%E7%BB%8D%E5%85%B4,,四季皆宜,0,0.5,3,comprehensive,3,2
