名称,行政区,地址,开放时间,门票价格,评分,简介,信任等级,数据来源,冲突标记
鲁迅故里,,绍兴市越城区鲁迅中路241号,08:30-17:00,免费,4.8,绍兴最具代表性的人文景点，包含鲁迅祖居、三味书屋、百草园,4,gov_api|baike|generator_attraction_basic|generator_attraction_culture,
沈园,,绍兴市越城区鲁迅中路318号,08:00-21:00,40元,4.6,南宋著名园林，因陆游与唐婉的爱情故事而闻名,4,gov_api|baike|generator_attraction_basic|generator_attraction_culture,
东湖,,绍兴市越城区皋埠街道云东路,08:00-17:00,50元,4.5,古代采石场遗址，以悬崖峭壁和深潭碧水闻名,4,gov_api|baike|generator_attraction_basic|generator_attraction_culture,
兰亭景区,,绍兴市柯桥区兰亭镇308省道,08:00-17:20,70元,4.7,因王羲之《兰亭序》闻名天下，书法圣地,4,gov_api|baike|generator_attraction_basic|generator_attraction_culture,
柯岩风景区,,,08:30-17:00,115元,,包含柯岩、鉴湖、鲁镇三大景区,4,gov_api|baike,
安昌古镇,,绍兴市柯桥区安昌街道,全天开放,免费,4.4,绍兴保存最完好的水乡古镇之一，以酱文化和腊味闻名,4,gov_api|baike|generator_attraction_basic|generator_attraction_culture,
大禹陵,,绍兴市越城区会稽山麓,08:00-17:00,50元,4.3,中华民族始祖大禹的陵寝之地,4,gov_api|baike|generator_attraction_basic|generator_attraction_culture,
新昌大佛寺,,绍兴市新昌县人民西路117号,08:00-17:00,60元,4.6,江南第一大佛，始凿于南朝齐梁年间,4,gov_api|baike|generator_attraction_basic|generator_attraction_culture,
五泄风景区,,绍兴市诸暨市五泄镇,07:30-17:00,80元,4.5,以五级瀑布闻名，东南第一秀水,4,gov_api|baike|generator_attraction_basic|generator_attraction_culture,
穿岩十九峰,,绍兴市新昌县镜岭镇,08:00-16:30,60元,4.4,丹霞地貌，19座山峰一字排列，有玻璃栈道,4,gov_api|baike|generator_attraction_basic|generator_attraction_culture,
书圣故里,,绍兴市越城区蕺山街,全天开放,免费,4.5,建造年代: 东晋，现存街区为明清风格 | 文化典故: 题扇桥：王羲之为卖扇老妪题字，扇子身价百倍；躲婆弄：老妪再三求字，王羲之躲入小巷 | 建筑特色: 绍兴保存最完整的历史街区，蕺山街、西街、笔飞弄,3,baike|generator_attraction_basic|generator_attraction_culture,
仓桥直街,,绍兴市越城区仓桥直街,全天开放,免费,4.4,建造年代: 宋代始建，明清繁华 | 文化典故: 获联合国教科文组织亚太区文化遗产保护奖（2003年） | 建筑特色: 台门建筑群，沿河而建，传统店铺与民居交错,3,baike|generator_attraction_basic|generator_attraction_culture,
西施故里,,绍兴市诸暨市浣纱中路123号,08:00-17:00,免费(部分场馆收费),4.2,建造年代: 现存建筑重修于1980-1990年代 | 文化典故: 西施浣纱、卧薪尝胆等历史典故；浣纱石留有东晋王羲之题字 | 建筑特色: 西施殿利用万余件古建筑构件重建，江南园林风格,3,baike|generator_attraction_basic|generator_attraction_culture,
覆卮山,,绍兴市上虞区岭南乡,全天开放,免费,4.1,建造年代: 自然形成，千年梯田始于宋代 | 文化典故: 谢灵运覆卮典故；冰川石浪为第四纪冰川遗迹 | 建筑特色: 千年古梯田（2.3万块）、冰川石浪、古村落,3,baike|generator_attraction_basic|generator_attraction_culture,
天姥山,,绍兴市新昌县儒岙镇,全天开放,免费,4.2,建造年代: 自然形成 | 文化典故: 浙东唐诗之路的核心节点，450余位唐代诗人留下1500余首诗篇 | 建筑特色: 山间云雾缭绕，天姥寺遗址，登山步道,3,baike|generator_attraction_basic|generator_attraction_culture,
曹娥庙,,绍兴市上虞区曹娥街道,08:00-16:30,免费,4.0,建造年代: 东汉，现存建筑为民国重建 | 文化典故: 被誉为'江南第一庙'，庙内有历代碑刻数十通，包括蔡卞重书的曹娥碑 | 建筑特色: 庙殿巍峨，雕刻精美，正殿壁画描绘曹娥事迹,3,baike|generator_attraction_basic|generator_attraction_culture,
绍兴柯岩风景区,,绍兴市柯桥区柯岩大道558号,08:30-17:00,115元(联票),4.7,柯岩风景区包含柯岩、鉴湖、鲁镇三大景区，以柯岩云谷和大佛石刻为核心。鉴湖风光秀美，为绍兴黄酒水源地。鲁镇再现鲁迅笔下小镇风貌。,2,generator_attraction_basic|generator_attraction_culture,
八字桥,,绍兴市越城区八字桥直街,全天开放,免费,4.2,八字桥是绍兴最古老的城市石桥之一，始建于南宋，因两桥成'八'字形跨河而建得名，是中国古代桥梁建筑精品。,2,generator_attraction_basic|generator_attraction_culture,
绍兴博物馆,,绍兴市越城区偏门直街75号,09:00-16:30(周一闭馆),免费,4.3,绍兴博物馆全面展示绍兴从史前到近代的历史文化，馆藏丰富，包含越国青铜器、越窑青瓷、明清书画等。是了解绍兴历史文化的最佳窗口。,2,generator_attraction_basic|generator_attraction_culture,
中国黄酒博物馆,,绍兴市越城区下大路557号,09:00-16:30,30元,4.3,中国黄酒博物馆全面展示黄酒七千年酿造历史，可体验黄酒品鉴、了解传统酿造工艺。是绍兴酒文化的集中展示地和必打卡的文化场馆。,2,generator_attraction_basic|generator_attraction_culture,
