点赞,特色,耗时,实体类型,经度,课程时长,价格,门票价格,entity_name,名称,产地,来源详情,赞同,文化项目,游玩建议,数据质量,来源数量,天数,交通,适合年龄,收费,贴士,行政区,房型,内容摘要,内容,所属店铺,预约方式,主题,线路名,保护级别,来源平台,时间,分类,地址,标签,适宜季节,entity_id,热度分数,关联内容数,景点,简介,来源,内容分类,开放时间,数据来源,推荐路线,纬度,标题,评论数,信任等级,摘要,推荐游览顺序,来源URL,来源列表,门票数值,评分,最佳季节,图片URL,游玩时长(分钟)
,,,景点,,,,免费,,绍兴鲁迅故里开元曼居,,,,,,0.5,6,,公交1/2/4/5/7路至鲁迅故里站；地铁1号线鲁迅故里站,,,,越城区,,,,,,,,,,,住宿,越城区鲁迅中路,家庭|性价比|景区周边|社交|经济|背包客|连锁|青旅,旺季3-5月、10月,景点0001,0,6,,鲁迅故里旁的国际青年旅舍，背包客聚集地。有公共区域和共享厨房，适合独自旅行和预算有限的游客。,,,08:30-17:00,,,,,0,4,,,,comprehensive,,4.1,,,
,,,景点,,,,40元,,沈园,,,,,,0.5,3,,公交1/2路至沈园站，与鲁迅故里步行10分钟,,,,,,,,,,,,,,,景点,,,,景点0002,0,12,,南宋著名园林，因陆游与唐婉的爱情故事而闻名,,,08:00-21:00,,,,,0,4,,,,comprehensive,,0,,,
,,,景点,,,,50元,,绍兴东湖·湖光山色民宿,,,,,,0.5,4,,公交1路至东湖风景区站,,,,越城区,,,,,,,,,,,住宿,越城区东湖风景区附近,东湖|安静|民宿|自然,旺季春秋；淡季冬夏,景点0003,0,4,,东湖附近的安静民宿，早上可步行到东湖坐第一班乌篷船。远离市区喧嚣。,,,08:00-17:00,,,,,0,4,,,,comprehensive,,4.0,,,
,,,景点,,,,70元,,兰亭景区,,,,,,0.5,3,,公交3/303路至兰亭站,,,,,,,,,,,,,,,景点,,,,景点0004,0,7,,因王羲之《兰亭序》闻名天下，书法圣地,,,08:00-17:20,,,,,0,4,,,,comprehensive,,0,,,
,,,景点,120.4794,,,115元(联票),,绍兴柯岩风景区,,,,,,0.5,5,,公交805/5路至柯岩风景区站,,,,柯桥区,,,,,,,,全国重点文物保护单位（古纤道）,,,自然风光,绍兴市柯桥区柯岩大道558号,4A景区|柯岩|水乡|自然风光|鉴湖|鲁镇,春秋,景点0005,0,3,,柯岩始于汉代采石，隋唐时期形成大规模石窟造像。鉴湖为东汉会稽太守马臻主持修建的水利工程，距今已1800余年。 柯岩大佛为隋代石刻，高20.8米；'云骨'巨石被誉为'天下第一石'；鉴湖古纤道为全国重点文物保护单位。,,,08:30-17:00,,,30.0462,,25600.0,4,,,,comprehensive,,4.7,,https://image.baidu.com/search?word=%E7%BB%8D%E5%85%B4%E6%9F%AF%E5%B2%A9%E9%A3%8E%E6%99%AF%E5%8C%BA%E7%BB%8D%E5%85%B4,
,,,景点,,,,免费,,安昌古镇·水岸客栈,,,,,,0.5,4,,公交805路至安昌古镇站,,,,柯桥区,,,,,,,,,,,住宿,柯桥区安昌古镇老街,古镇|民宿|水乡|腊味,旺季腊月-春节、秋季；淡季夏季,景点0006,0,4,,安昌古镇老街上的临水客栈，推窗见河。腊月时节窗外挂满腊肠酱鸭，年味十足。,,,全天开放,,,,,0,4,,,,comprehensive,,4.1,,,
,,,景点,,,,50元,,大禹陵,,,,,,0.5,3,,公交2/10路至大禹陵站,,,,,,,,,,,,,,,景点,,,,景点0007,0,3,,中华民族始祖大禹的陵寝之地,,,08:00-17:00,,,,,0,4,,,,comprehensive,,0,,,
,,,景点,,,,60元,,新昌大佛寺·禅意酒店,,,,,,0.5,4,,新昌客运中心乘公交至大佛寺站,,,,新昌县,,,,,,,,,,,住宿,新昌县人民西路大佛寺旁,佛教文化|新昌|清静|禅意,全年,景点0008,0,3,,大佛寺旁的禅意酒店，以佛教文化为主题。房间素雅清静，可听到寺院晨钟暮鼓。,,,08:00-17:00,,,,,0,4,,,,comprehensive,,4.2,,,
,,,景点,,,,80元,,五泄风景区,,,,,,0.5,3,,诸暨客运中心乘旅游专线,,,,,,,,,,,,,,,景点,,,,景点0009,0,4,,以五级瀑布闻名，东南第一秀水,,,07:30-17:00,,,,,0,4,,,,comprehensive,,0,,,
,,,景点,,,,60元,,穿岩十九峰,,,,,,0.5,3,,新昌客运站乘旅游专线,,,,,,,,,,,,,,,景点,,,,景点0010,0,3,,丹霞地貌，19座山峰一字排列，有玻璃栈道,,,08:00-16:30,,,,,0,4,,,,comprehensive,,0,,,
,,,景点,120.5818,,,免费,,书圣故里,,,,,,0.5,4,,公交1/2路至胜利路口站,,,,越城区,,,,,,,,,,,人文历史,绍兴市越城区蕺山街,书法|书法主题|历史街区|民宿|清静|特色街区|王羲之|老街,四季皆宜,景点0011,0,8,,建造年代: 东晋，现存街区为明清风格 | 文化典故: 题扇桥：王羲之为卖扇老妪题字，扇子身价百倍；躲婆弄：老妪再三求字，王羲之躲入小巷 | 建筑特色: 绍兴保存最完整的历史街区，蕺山街、西街、笔飞弄,,,全天开放,,,30.0013,,11300.0,3,,,,comprehensive,,4.4,,https://image.baidu.com/search?word=%E4%B9%A6%E5%9C%A3%E6%95%85%E9%87%8C%E7%BB%8D%E5%85%B4,
,,,景点,120.5765,,,免费,,仓桥直街,,,,,,0.5,4,,步行可达或公交至城市广场站,,,,越城区,,,,,,,,,,,古镇街区,绍兴市越城区仓桥直街,历史街区|古城核心|古建筑|民宿|水乡|河景|特色美食|老街,四季皆宜,景点0012,0,6,,建造年代: 宋代始建，明清繁华 | 文化典故: 获联合国教科文组织亚太区文化遗产保护奖（2003年） | 建筑特色: 台门建筑群，沿河而建，传统店铺与民居交错,,,全天开放,,,29.9976,,10500.0,3,,,,comprehensive,,4.4,,https://image.baidu.com/search?word=%E4%BB%93%E6%A1%A5%E7%9B%B4%E8%A1%97%E7%BB%8D%E5%85%B4,
,,,景点,120.5876,,,免费,,八字桥,,,,,,0.5,3,,步行或公交至中兴路人民路口,,,,越城区,,,,,,,,全国重点文物保护单位,,,人文历史,绍兴市越城区八字桥直街,免费|南宋|古桥|文物|水乡,四季皆宜,景点0013,0,2,,始建于南宋嘉泰年间（1201-1204年），至今800余年。八字桥是中国最早的'立交桥'式桥梁。 因两桥成'八'字形跨三河四岸得名，是中国古代城市桥梁的杰作，被《中国科学技术史》收录。,,,全天开放,,,29.9996,,4200.0,3,,,,comprehensive,,4.2,,https://image.baidu.com/search?word=%E5%85%AB%E5%AD%97%E6%A1%A5%E7%BB%8D%E5%85%B4,
,,,景点,120.5784,,,免费,,秋瑾故居,,,,,,0.5,3,,公交1/2路,,,,越城区,,,,,,,,全国重点文物保护单位,,,人文历史,绍兴市越城区和畅堂35号,名人故居|秋瑾|红色旅游|辛亥革命,四季皆宜,景点0014,0,3,,秋瑾（1875-1907），号鉴湖女侠，辛亥革命先驱、中国女权运动先驱。这里是她的出生地和革命活动据点。 秋瑾在此读书习武，后赴日留学加入同盟会。1907年回绍兴主持大通学堂，策划浙皖起义，被捕后就义于绍兴轩亭口。,,,08:30-16:30,,,29.9927,,3200.0,3,,,,comprehensive,,4.2,,https://image.baidu.com/search?word=%E7%A7%8B%E7%91%BE%E6%95%85%E5%B1%85%E7%BB%8D%E5%85%B4,
,,,景点,120.5825,,,免费,,周恩来祖居,,,,,,0.5,3,,公交1/2路至城市广场站,,,,越城区,,,,,,,,浙江省文物保护单位,,,人文历史,绍兴市越城区劳动路369号,名人故居|周恩来|红色旅游,四季皆宜,景点0015,0,3,,周恩来（1898-1976），祖籍绍兴。其祖父周殿魁曾任绍兴府刑名师爷，此处为周氏家族在绍兴的祖宅。 周恩来虽生于淮安，但多次提到'我是绍兴人'。1939年曾回绍兴祭祖，并在祖居内发表抗日演讲。,,,08:30-16:30,,,29.9991,,5100.0,3,,,,comprehensive,,4.3,,https://image.baidu.com/search?word=%E5%91%A8%E6%81%A9%E6%9D%A5%E7%A5%96%E5%B1%85%E7%BB%8D%E5%85%B4,
,,,景点,120.581,,,免费,,蔡元培故居,,,,,,0.5,3,,公交1/2路,,,,越城区,,,,,,,,全国重点文物保护单位,,,人文历史,绍兴市越城区笔飞弄13号,免费|名人故居|教育家|蔡元培,四季皆宜,景点0016,0,2,,蔡元培（1868-1940），绍兴人，曾任北京大学校长、教育总长。是中国近代教育改革的先驱。 蔡元培在此出生并度过青少年时代。后任北大校长，提出'思想自由、兼容并包'的办学方针。,,,08:30-16:30,,,29.9995,,2800.0,3,,,,comprehensive,,4.1,,https://image.baidu.com/search?word=%E8%94%A1%E5%85%83%E5%9F%B9%E6%95%85%E5%B1%85%E7%BB%8D%E5%85%B4,
,,,景点,120.5755,,,免费,,青藤书屋,,,,,,0.5,3,,公交1/2路,,,,越城区,,,,,,,,全国重点文物保护单位,,,人文历史,绍兴市越城区前观巷大乘弄10号,书画|徐渭|文人园林|明代,四季皆宜,景点0017,0,2,,徐渭（1521-1593），号青藤道士，明代著名书画家、文学家、戏曲家。被郑板桥、齐白石尊为'青藤门下走狗'。 徐渭一生坎坷，在此读书作画。手植青藤至今葱郁，书屋因此得名。其大写意画风影响至今。,,,08:30-16:30,,,29.9934,,2500.0,3,,,,comprehensive,,4.1,,https://image.baidu.com/search?word=%E9%9D%92%E8%97%A4%E4%B9%A6%E5%B1%8B%E7%BB%8D%E5%85%B4,
