信任等级,内容分类,名称,地址,地址_可信度,地址_备选值,开放时间,数据分类,数据来源,来源数量,来源详情,游玩时长,简介,简介_可信度,简介_备选值,评分,门票价格
4,attraction_basic,鲁迅故里,,,,08:30-17:00,attraction_basic,gov_api,1,{'gov_api': 1},,绍兴最具代表性的人文景点，包含鲁迅祖居、三味书屋、百草园,,,,免费
4,attraction_basic,沈园,,,,08:00-21:00,attraction_basic,gov_api,1,{'gov_api': 1},,南宋著名园林，因陆游与唐婉的爱情故事而闻名,,,,40元
4,attraction_basic,东湖,,,,08:00-17:00,attraction_basic,gov_api,1,{'gov_api': 1},,古代采石场遗址，以悬崖峭壁和深潭碧水闻名,,,,50元
4,attraction_basic,兰亭景区,,,,08:00-17:20,attraction_basic,gov_api,1,{'gov_api': 1},,因王羲之《兰亭序》闻名天下，书法圣地,,,,70元
4,attraction_basic,柯岩风景区,,,,08:30-17:00,attraction_basic,gov_api,1,{'gov_api': 1},,包含柯岩、鉴湖、鲁镇三大景区,,,,115元
4,attraction_basic,安昌古镇,,,,全天开放,attraction_basic,gov_api,1,{'gov_api': 1},,绍兴保存最完好的水乡古镇之一，以酱文化和腊味闻名,,,,免费
4,attraction_basic,大禹陵,,,,08:00-17:00,attraction_basic,gov_api,1,{'gov_api': 1},,中华民族始祖大禹的陵寝之地,,,,50元
4,attraction_basic,新昌大佛寺,,,,08:00-17:00,attraction_basic,gov_api,1,{'gov_api': 1},,江南第一大佛，始凿于南朝齐梁年间,,,,60元
4,attraction_basic,五泄风景区,,,,07:30-17:00,attraction_basic,gov_api,1,{'gov_api': 1},,以五级瀑布闻名，东南第一秀水,,,,80元
4,attraction_basic,穿岩十九峰,,,,08:00-16:30,attraction_basic,gov_api,1,{'gov_api': 1},,丹霞地貌，19座山峰一字排列，有玻璃栈道,,,,60元
2,attraction_culture,西施故里,,,,,attraction_culture,baike,1,{'baike': 1},,西施故里是中国4A级旅游景区，坐落于西施的故乡——浙江绍兴诸暨，是诸暨的国家级风景名胜区、浣江•五泄国家重点风景名胜区的重要组成部分 [6] [10]。整个旅游区规划总面积1.85平方公里，按功能划分为一轴一心六区 [9]。一轴为南北穿越整个旅游区的浣江游览带，一心指已有一定规模的西施殿景区，六片指主入口管理区、鸬鹚湾古渔村景区、古越文化区、美苑休闲娱乐区、三江口湿地生态保护区、休闲度假区 [8] [10]。景区免费开放，部分场馆单独收费 [7]，推出沉浸式夜游项目《遇见西施》浣纱江夜游和《梦寻西施》沉浸式演出 [4] [13]，其中浣纱江夜游串联景区与周边热点形成多元夜间消费市场 [4] [11]。西施殿现存建筑重建于上世纪八十年代末，本世纪初扩建，利用了民间保存的万余件古建筑构件 [4]，2024年4月7日起闭园修整。景区内包含西施殿、中国历代名媛馆、范蠡祠、郑氏宗祠等景点，融合文旅休闲业态 [4-5] [13]，浣纱石留有东晋王羲之题字及历代文人诗文记载。范蠡祠采用清代民间建筑风格，展示范蠡军事政治及商业才能 [4]。2022年启动的“一江两岸”项目累计投入36.45亿元，完成基,,,,
2,food_shop,咸亨酒店,越城区鲁迅中路179号,有冲突,['鲁迅故里景区内'],,food_shop,dianping,1,{'dianping': 2},,因鲁迅小说《孔乙己》闻名，绍兴老字号,有冲突,['景区内分店，适合游客体验'],,
2,food_shop,同心楼,越城区解放北路430号,,,,food_shop,dianping,1,{'dianping': 1},,绍兴百年老店，以面点小吃闻名,,,,
2,food_shop,寻宝记绍兴菜,越城区仓桥直街114号,,,,food_shop,dianping,1,{'dianping': 1},,仓桥直街上的网红绍兴菜馆,,,,
2,food_shop,孔乙己酒家,越城区鲁迅中路273号,,,,food_shop,dianping,1,{'dianping': 1},,鲁迅主题绍兴菜馆，文化氛围浓厚,,,,
2,food_shop,状元楼,越城区胜利西路,,,,food_shop,dianping,1,{'dianping': 1},,绍兴老牌酒楼，以传统绍兴菜见长,,,,
2,food_shop,仓桥阿丘面馆,越城区仓桥直街,,,,food_shop,dianping,1,{'dianping': 1},,仓桥直街巷子里的地道面馆,,,,
2,food_shop,黄酒博物馆文创店,越城区下大路557号,,,,food_shop,dianping,1,{'dianping': 1},,黄酒博物馆附设商店，可品酒购酒,,,,
