名称,城市,行政区,地址,开放时间,门票价格,游玩时长,评分,评论数,标签,分类,简介,交通,适宜季节,热度分数,拥挤程度,数据质量,来源URL,更新时间
鲁迅故里,绍兴,越城区,绍兴市越城区鲁迅中路241号,08:30-17:00,免费,,4.8,,鲁迅故居|三味书屋|百草园|5A景区|免费|人文历史,人文历史,鲁迅故里是鲁迅先生诞生和青少年时期生活过的故土，包含鲁迅祖居、鲁迅故居、三味书屋、百草园等景点，是绍兴最具代表性的人文景点。,公交：1路、2路、4路、5路、7路至鲁迅故里站；地铁1号线鲁迅故里站,春夏秋冬,67.6,中,92%,csv_import:鲁迅故里,2026-06-02T21:11:00.209636
绍兴柯岩风景区,绍兴,柯桥区,绍兴市柯桥区柯岩大道558号,08:30-17:00,115元,,4.7,,柯岩|鉴湖|鲁镇|自然风光|水乡|4A景区,自然风光,柯岩风景区包含柯岩、鉴湖、鲁镇三大景区，以柯岩云骨和大佛石刻为核心，鉴湖风光秀美，鲁镇再现鲁迅笔下小镇风貌。,公交：805路、5路至柯岩风景区站,夏,66.4,中,92%,csv_import:绍兴柯岩风景区,2026-06-02T21:11:00.204235
兰亭景区,绍兴,柯桥区,绍兴市柯桥区兰亭镇308省道,08:00-17:20,70元,,4.7,,书法圣地|王羲之|兰亭序|曲水流觞|鹅池|4A景区,人文历史,兰亭因王羲之《兰亭序》而闻名天下，是书法爱好者朝圣之地。景区内有鹅池、流觞亭、御碑亭、王右军祠等景点。,公交：3路、303路至兰亭站,春,66.4,中,92%,csv_import:兰亭景区,2026-06-02T21:11:00.205465
新昌大佛寺,绍兴,新昌县,绍兴市新昌县人民西路117号,08:00-17:00,60元,,4.6,,佛教|大佛|石窟|南朝|新昌|4A景区,自然风光,"新昌大佛寺有""江南第一大佛""之称，始凿于南朝齐梁年间。寺内石弥勒佛像高16.3米，为中国南方早期石窟造像代表作。",新昌客运中心乘公交至大佛寺站,春秋,65.2,中,92%,csv_import:新昌大佛寺,2026-06-02T21:11:00.188269
沈园,绍兴,越城区,绍兴市越城区鲁迅中路318号,08:00-21:00,40元,,4.6,,宋代园林|陆游唐婉|钗头凤|夜景|5A景区,自然风光,沈园是南宋著名园林，因陆游与唐婉的爱情故事和《钗头凤》词而千古流传。园内亭台楼阁、小桥流水，夜晚有《沈园之夜》实景演出。,公交：1路、2路至沈园站,春秋,65.2,中,92%,csv_import:沈园,2026-06-02T21:11:00.208335
五泄风景区,绍兴,诸暨市,绍兴市诸暨市五泄镇,07:30-17:00,80元,,4.5,,瀑布|自然风光|峡谷|水库|诸暨|4A景区,自然风光,"五泄风景区以五级瀑布闻名，被誉为""东南第一秀水""。景区含五泄湖、五泄瀑布群、西源峡谷等，是绍兴自然风光代表。",诸暨客运中心乘旅游专线,夏,64.0,中,92%,csv_import:五泄风景区,2026-06-02T21:11:00.191366
书圣故里,绍兴,越城区,绍兴市越城区蕺山街,全天开放,免费,,4.5,,王羲之|书法|历史街区|老街|特色街区,人文历史,书圣故里是王羲之故居所在地，也是绍兴保存最完整的历史街区之一。街区内有题扇桥、躲婆弄等与王羲之相关的历史遗迹。,公交：1路、2路至胜利路口站,春夏秋冬,64.0,中,92%,csv_import:书圣故里,2026-06-02T21:11:00.200594
东湖,绍兴,越城区,绍兴市越城区皋埠街道云东路,08:00-17:00,50元,,4.5,,山水园林|乌篷船|石文化|采石遗址|4A景区,自然风光,东湖是古代采石场遗址，以悬崖峭壁和深潭碧水闻名。乘乌篷船穿行于陶公洞、仙桃洞之间，体验山水盆景之美。,公交：1路至东湖风景区站,夏,64.0,中,92%,csv_import:东湖,2026-06-02T21:11:00.206914
穿岩十九峰,绍兴,新昌县,绍兴市新昌县镜岭镇,08:00-16:30,60元,,4.4,,丹霞地貌|玻璃栈道|登山|新昌|自然风光|4A景区,自然风光,穿岩十九峰是典型的丹霞地貌，19座山峰一字排列，气势磅礴。景区内有玻璃栈道悬于绝壁之上，惊险刺激。,新昌客运站乘旅游专线,春秋,62.8,中,92%,csv_import:穿岩十九峰,2026-06-02T21:11:00.186714
仓桥直街,绍兴,越城区,绍兴市越城区仓桥直街,全天开放,免费,,4.4,,历史街区|水乡|特色美食|老街|古建筑,自然风光,仓桥直街是绍兴最具代表性的历史老街，获联合国教科文组织亚太区文化遗产保护奖。沿街有特色小吃、文创店铺和传统民居。,步行可达，或公交至城市广场站,春秋,62.8,中,92%,csv_import:仓桥直街,2026-06-02T21:11:00.199271
安昌古镇,绍兴,柯桥区,绍兴市柯桥区安昌街道,全天开放,免费,,4.4,,水乡古镇|酱文化|年味|腊味|原生态,自然风光,安昌古镇是绍兴保存最完好的水乡古镇之一，以传统酱园、腊味和原生态水乡生活闻名。腊月风情节期间最为热闹。,公交：805路至安昌古镇站,春秋,62.8,中,92%,csv_import:安昌古镇,2026-06-02T21:11:00.203070
周恩来祖居,绍兴,越城区,绍兴市越城区劳动路369号,08:30-16:30,免费,,4.3,,周恩来|名人故居|红色旅游|免费,人文历史,周恩来祖居是周恩来总理祖辈居住的地方，展示了周恩来家族历史和青少年时期的成长经历。,公交：1路、2路至城市广场站,春夏秋冬,61.6,中,92%,csv_import:周恩来祖居,2026-06-02T21:11:00.174182
绍兴黄酒博物馆,绍兴,越城区,绍兴市越城区下大路557号,09:00-16:30,30元,,4.3,,黄酒文化|博物馆|非遗|体验|特色,人文历史,中国黄酒博物馆全面展示了黄酒七千年的酿造历史，可体验黄酒品鉴、了解酿造工艺，是绍兴酒文化的集中展示地。,公交：1路、5路,春夏秋冬,61.6,中,92%,csv_import:绍兴黄酒博物馆,2026-06-02T21:11:00.177120
会稽山兜率天景区,绍兴,柯桥区,绍兴市柯桥区会稽山,08:30-16:30,80元,,4.3,,会稽山|佛教文化|龙华寺|兜率天宫|自然风光,自然风光,龙华寺和兜率天宫是绍兴重要的佛教文化胜地，坐落于会稽山巅，气势恢宏，可俯瞰绍兴全城。,公交：专线车至兜率天宫站,春秋,61.6,中,92%,csv_import:会稽山兜率天景区,2026-06-02T21:11:00.194005
绍兴博物馆,绍兴,越城区,绍兴市越城区偏门直街75号,09:00-16:30(周一闭馆),免费,,4.3,,博物馆|历史文化|免费|展览,文博场馆,绍兴博物馆全面展示绍兴从史前到近代的历史文化，馆藏丰富，是了解绍兴历史文化的最佳窗口。,公交：2路、5路至城市广场站,春夏秋冬,61.6,中,92%,csv_import:绍兴博物馆,2026-06-02T21:11:00.195455
