主题,时间,内容摘要,景点,来源URL,数据来源,信任等级,内容分类,entity_id,entity_name
绍兴名人故里研学游,全年,鲁迅故里（文学）、书圣故里（书法）、青藤书屋（绘画）、蔡元培故居（教育）、秋瑾故居（革命）。,鲁迅故里/书圣故里/青藤书屋,comprehensive:event:study_tour,comprehensive,3,,景点0011,书圣故里
绍兴非遗体验之旅,全年,安昌扯白糖（观看制作）、黄酒博物馆（酿造体验）、书圣故里（书法体验）、嵊州竹编（手工艺体验）。,安昌古镇/黄酒博物馆/书圣故里,comprehensive:event:ich_experience,comprehensive,3,,景点0011,书圣故里
,,,鲁迅故里→沈园→书圣故里→仓桥直街,comprehensive:route:culture1day,comprehensive,4,,景点0002,沈园
,,,兰亭景区→书圣故里→青藤书屋→绍兴博物馆,comprehensive:route:calligraphy,comprehensive,4,,景点0004,兰亭景区
,,,,xhs_static:绍兴最全美食地图本地人推荐,xiaohongshu,1,food_shop,,
,,,,xhs_static:绍兴黄酒体验全攻略,xiaohongshu,1,food_shop,,
,,,,xhs_static:绍兴这些老字号你吃过几家,xiaohongshu,1,food_shop,,
,,,,xhs_static:,xiaohongshu,1,food_shop,,
,,,同心楼(生煎)→鲁迅故里(王老汉臭豆腐)→咸亨酒店(午餐)→高老太奶油小攀→寻宝记(晚餐)→绘璟轩(黄酒奶茶),comprehensive:route:food1day,comprehensive,2,,景点0069,咸亨酒店(住宿部)
,,,鲁迅故里,mafengwo_static:luxunguli,mafengwo,2,attraction_review,景点0001,绍兴鲁迅故里开元曼居
,,,沈园,mafengwo_static:shenyuan,mafengwo,2,attraction_review,景点0002,沈园
,,,东湖,mafengwo_static:donghu,mafengwo,2,attraction_review,景点0003,绍兴东湖·湖光山色民宿
,,,兰亭景区,mafengwo_static:lanting,mafengwo,2,attraction_review,景点0004,兰亭景区
,,,柯岩风景区,mafengwo_static:keyan,mafengwo,2,attraction_review,景点0005,绍兴柯岩风景区
,,,安昌古镇,mafengwo_static:anchang,mafengwo,2,attraction_review,景点0006,安昌古镇·水岸客栈
,,,书圣故里,mafengwo_static:shushengguli,mafengwo,2,attraction_review,景点0011,书圣故里
,,,仓桥直街,mafengwo_static:cangqiao,mafengwo,2,attraction_review,景点0012,仓桥直街
,,,绍兴2日经典游,mafengwo_static:route2day,mafengwo,2,attraction_review,,
,,,绍兴3日深度游,mafengwo_static:route3day,mafengwo,2,attraction_review,,
,,,,xhs_static:绍兴2天1夜保姆级攻略,xiaohongshu,1,attraction_review,,
,,,,xhs_static:绍兴真的被低估了！三天两晚超详细行程,xiaohongshu,1,attraction_review,,
,,,,xhs_static:绍兴这5个地方拍照超出片,xiaohongshu,1,attraction_review,,
,,,,xhs_static:绍兴本地人才知道的宝藏景点,xiaohongshu,1,attraction_review,,
,,,,xhs_static:带娃游绍兴不累的行程安排,xiaohongshu,1,attraction_review,,
,,,,xhs_static:绍兴各景点真实体验避雷指南,xiaohongshu,1,attraction_review,,
,,,,xhs_static:绍兴秋天最美路线,xiaohongshu,1,attraction_review,,
,,,,xhs_static:绍兴3天2夜深度文化游,xiaohongshu,1,attraction_review,,
,,,,xhs_static:绍兴周末特种兵一日游,xiaohongshu,1,attraction_review,,
,,,,xhs_static:绍兴冬天怎么玩,xiaohongshu,1,attraction_review,,
,,,,xhs_static:绍兴免费景点合集,xiaohongshu,1,attraction_review,,
,,,,xhs_static:绍兴周边游之新昌嵊州篇,xiaohongshu,1,attraction_review,,
,,,,xhs_static:绍兴旅游住宿推荐,xiaohongshu,1,attraction_review,,
,,,,xhs_static:绍兴各景点门票汇总,xiaohongshu,1,attraction_review,,
,,,,xhs_static:绍兴最佳旅游季节,xiaohongshu,1,attraction_review,,
,,,,zhihu_static:绍兴有哪些值得去的景点？,zhihu,2,attraction_review,,
,,,,zhihu_static:绍兴2-3天自由行怎么安排？,zhihu,2,attraction_review,,
,,,,zhihu_static:绍兴有什么必吃的美食？,zhihu,2,attraction_review,,
,,,,zhihu_static:绍兴和杭州哪个更值得去？,zhihu,2,attraction_review,,
,,,,zhihu_static:绍兴周边有什么小众好玩的地方？,zhihu,2,attraction_review,,
,,,,zhihu_static:绍兴哪些景点是免费的？,zhihu,2,attraction_review,,
,,,,zhihu_static:带父母去绍兴怎么玩？,zhihu,2,attraction_review,,
